time,IP,SXR,FIR,PD,DML,P_LHfr_RT,LHD_label,ELM_label,ST_MD_label1,ST_MD_label2
0.0156,25325.9341805684,NaN,6.36005063420645e+18,5.0244138042656,2.18667857408723e-05,NaN,0,0,0,0
0.0157,25845.5722803486,NaN,6.37157864443461e+18,5.10009688154679,2.32121195825354e-05,NaN,0,0,0,0
0.0158,26325.0180999851,NaN,6.41567015312726e+18,5.13183640304935,1.97623622551473e-05,NaN,0,0,0,0
0.0159,26845.1627643065,NaN,6.43276357844433e+18,5.1513671875,1.22128327600899e-05,NaN,0,0,0,0
0.016,27301.7920990204,NaN,6.4591292869749e+18,5.18066675395717,8.88886670320616e-06,NaN,0,0,0,0
0.0161,27762.7955024426,NaN,6.46799081735978e+18,5.12695384514665,4.39012969019309e-06,NaN,0,0,0,0
0.0162,28187.6236138036,NaN,6.4761125280629e+18,5.15624860698906,8.72123048915033e-06,NaN,0,0,0,0
0.0163,28658.2868865092,NaN,6.51723515998328e+18,5.19287124650838,1.78304159132738e-05,NaN,0,0,0,0
0.0164,29034.7511742737,NaN,6.49494828840253e+18,5.18065220554005,2.07455166608435e-05,NaN,0,0,0,0
0.0165,29426.711743426,NaN,6.52419423728978e+18,5.146484375,1.76499862149734e-05,NaN,0,0,0,0
0.0166,29816.5869751341,NaN,6.55509756800552e+18,5.18067188954842,1.16765047149102e-05,NaN,0,0,0,0
0.0167,30132.9285537992,NaN,6.54381988703011e+18,5.183106343881,6.6067018309674e-06,NaN,0,0,0,0
0.0168,30458.2263344867,NaN,6.56228984086174e+18,5.13183825069832,8.12632820355439e-06,NaN,0,0,0,0
0.0169,30799.52084108,NaN,6.57046807355677e+18,5.11963491572542,1.20064272206382e-05,NaN,0,0,0,0
0.017,31115.2344846544,NaN,6.56017553581498e+18,5.09765794125349,1.3872537229056e-05,NaN,0,0,0,0
0.0171,31462.6556052816,NaN,6.54359930390748e+18,5.04638533782604,2.14972243631706e-05,NaN,0,0,0,0
0.0172,31855.0415559893,NaN,6.53117113146657e+18,5.06347727570447,2.5891484202458e-05,NaN,0,0,0,0
0.0173,32190.5557626117,NaN,6.53121259240151e+18,4.9462905798789,2.78836319989424e-05,NaN,0,0,0,0
0.0174,32549.8696213126,NaN,6.51785065243449e+18,4.94628831654635,2.99669302552385e-05,NaN,0,0,0,0
0.0175,32979.3933142134,NaN,6.5250214933076e+18,4.9169921875,3.78654051342585e-05,NaN,0,0,0,0
0.0176,33346.1372828312,NaN,6.50733655535484e+18,4.87304704958101,4.52538281218772e-05,NaN,0,0,0,0
0.0177,33653.8478803114,NaN,6.49243301371281e+18,4.86328125,4.33299669171284e-05,NaN,0,0,0,0
0.0178,34002.6805193012,NaN,6.48016346865533e+18,4.74609375,3.89995579874125e-05,NaN,0,0,0,0
0.0179,34381.9916658895,NaN,6.48784492946092e+18,4.69482652103701,3.70735940001519e-05,NaN,0,0,0,0
0.018,34793.6302018027,NaN,6.44147477837167e+18,4.63378858967644,3.7592393909649e-05,NaN,0,0,0,0
0.0181,35120.7606223629,NaN,6.44781686669172e+18,4.58740290386406,3.72120862813176e-05,NaN,0,0,0,0
0.0182,35444.882853531,NaN,6.42471564695965e+18,4.6728508823615,3.64074988277555e-05,NaN,0,0,0,0
0.0183,35781.7551113067,NaN,6.39311410319322e+18,4.47753976809823,3.35461393138171e-05,NaN,0,0,0,0
0.0184,36092.8469722735,NaN,6.34388040996947e+18,4.43847794823673,2.33350901381325e-05,NaN,0,0,0,0
0.0185,36334.8534101609,NaN,6.36534579276275e+18,4.32373090520251,2.03772108199767e-05,NaN,0,0,0,0
0.0186,36540.2115512962,NaN,6.357552795685e+18,4.28710583973464,1.94207379326475e-05,NaN,0,0,0,0
0.0187,36842.2616681615,NaN,6.30289672530948e+18,4.29199194017691,2.16086959922218e-05,NaN,0,0,0,0
0.0188,37159.8462368147,NaN,6.30578080815179e+18,4.27246385082053,3.06647307226361e-05,NaN,0,0,0,0
0.0189,37571.4747552592,NaN,6.2302384225303e+18,4.2138637160864,3.9925130830894e-05,NaN,0,0,0,0
0.019,37966.035389991,NaN,6.22149147251124e+18,4.1455101038757,4.36570314300938e-05,NaN,0,0,0,0
0.0191,38332.4973944652,NaN,6.22346403080957e+18,4.09179555411621,4.31923321051705e-05,NaN,0,0,0,0
0.0192,38601.8332374777,NaN,6.20313264597294e+18,4.05761996988477,4.29206834345292e-05,NaN,0,0,0,0
0.0193,38850.9890139675,NaN,6.1686002859043e+18,3.99414153106078,4.39803810888905e-05,NaN,0,0,0,0
0.0194,39124.1337309744,NaN,6.11143186165331e+18,4.01855538614928,4.6502148339839e-05,NaN,0,0,0,0
0.0195,39486.3457299613,NaN,6.13221354765579e+18,3.96240308060666,5.30033944090284e-05,NaN,0,0,0,0
0.0196,39916.6736193608,NaN,6.08713872557696e+18,3.95996107941314,5.53107646201319e-05,NaN,0,0,0,0
0.0197,40308.3731059964,NaN,6.09000027658582e+18,3.88916019445738,5.20786544671065e-05,NaN,0,0,0,0
0.0198,40658.8278916418,NaN,6.06483417525609e+18,3.90624967266061,4.59688658171199e-05,NaN,0,0,0,0
0.0199,40917.9983789556,NaN,6.03503571356064e+18,3.90625386987896,3.99722776918866e-05,NaN,0,0,0,0
0.02,41210.8746664556,NaN,6.05465401391259e+18,3.84277234636871,3.66158865039285e-05,NaN,0,0,0,0
0.0201,41506.2606625521,NaN,6.03809404954572e+18,3.7719718960952,3.04126835632044e-05,NaN,0,0,0,0
0.0202,41759.1940960146,NaN,6.02179633518077e+18,3.71093798009777,2.73933752147455e-05,NaN,0,0,0,0
0.0203,42096.2640355855,NaN,6.02437138027709e+18,3.76220758408985,3.0600069763359e-05,NaN,0,0,0,0
0.0204,42559.7318631332,NaN,5.9760619333092e+18,3.79882495344507,3.41565789817333e-05,NaN,0,0,0,0
0.0205,42912.5871570331,NaN,5.99074772974371e+18,3.74267612677491,3.23577424215968e-05,NaN,0,0,0,0
0.0206,43098.4091113156,NaN,5.99158783371533e+18,3.66211075346252,2.70674807709664e-05,NaN,0,0,0,0
0.0207,43397.8225096916,NaN,5.94349513910252e+18,3.55957058891993,2.33079679448279e-05,NaN,0,0,0,0
0.0208,43946.422961919,NaN,5.95140694666872e+18,3.54492538844273,2.35509936659554e-05,NaN,0,0,0,0
0.0209,44529.2719111144,NaN,5.94254269777319e+18,3.61572300177491,2.05517710515459e-05,NaN,0,0,0,0
0.021,45067.1827351386,NaN,5.94041027401681e+18,3.60351755266527,2.29192952184317e-05,NaN,0,0,0,0
0.0211,45575.8053955527,NaN,5.89036376952035e+18,3.61084758893223,2.65110733614452e-05,NaN,0,0,0,0
0.0212,45950.7368520137,NaN,5.85998446518681e+18,3.57910610160614,2.58454910490808e-05,NaN,0,0,0,0
0.0213,46254.4796637738,NaN,5.89425474158027e+18,3.6254863217571,1.89031000493435e-05,NaN,0,0,0,0
0.0214,46617.0925775998,NaN,5.86293498773302e+18,3.62304742420275,1.25418767985559e-05,NaN,0,0,0,0
0.0215,47053.1542437798,NaN,5.84972634098656e+18,3.53759810200279,9.41186725200191e-06,NaN,0,0,0,0
0.0216,47424.348170508,NaN,5.85900959762329e+18,3.52050815454704,3.86857909402741e-06,NaN,0,0,0,0
0.0217,47676.8753288811,NaN,5.85916976090607e+18,3.62548756622613,2.4641798226435e-06,NaN,0,0,0,0
0.0218,47926.1119305051,NaN,5.82905185938355e+18,3.57910169713554,3.75162449330396e-06,NaN,0,0,0,0
